,Unnamed: 0.1,Unnamed: 0,ÃÂ¯ÃÂ»ÃÂ¿Country code,Postal code,Pnr (3),Place name,Region,Admin code 1,Admin name 2,Admin code 2,Admin name 3,Latitude,Longitude,Accuracy,Population City 231231,distance_borÃ¥s (meters),duration_borÃ¥s (seconds),distance_Sponvika (meters),duration_Sponvika (seconds),distance_Ãrje (meters),duration_Ãrje (seconds),distance_Örebro (meters),duration_Örebro (seconds)
0,0,0,SE,10005,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
1,1,1,SE,10012,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
2,2,2,SE,10026,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
3,3,3,SE,10028,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
4,4,4,SE,10029,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
5,5,5,SE,10031,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
6,6,6,SE,10040,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
7,7,7,SE,10041,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
8,8,8,SE,10044,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
9,9,9,SE,10052,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
10,10,10,SE,10054,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
11,11,11,SE,10055,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
12,12,12,SE,10061,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
13,13,13,SE,10064,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
14,14,14,SE,10073,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
15,15,15,SE,10074,100,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
16,16,16,SE,10101,101,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
17,17,17,SE,10110,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
18,18,18,SE,10120,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
19,19,19,SE,10121,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
20,20,20,SE,10122,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
21,21,21,SE,10123,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
22,22,22,SE,10124,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
23,23,23,SE,10125,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
24,24,24,SE,10126,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
25,25,25,SE,10127,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
26,26,26,SE,10128,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
27,27,27,SE,10129,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
28,28,28,SE,10130,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
29,29,29,SE,10131,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
30,30,30,SE,10132,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
31,31,31,SE,10133,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
32,32,32,SE,10134,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
33,33,33,SE,10135,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
34,34,34,SE,10136,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
35,35,35,SE,10137,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
